"","styles.id","styles.year.year","styles.make.niceName","styles.model.niceName","styles.trim","styles.submodel.niceName"
"1",200431829,2013,"toyota","tacoma","Base","double-cab"
"2",200431830,2013,"toyota","tacoma","Base","access-cab"
"3",200431839,2013,"toyota","tacoma","Base","regular-cab"
"4",200431828,2013,"toyota","tacoma","Base","regular-cab"
"5",200431838,2013,"toyota","tacoma","Base","regular-cab"
"6",200431843,2013,"toyota","tacoma","Base","access-cab"
"7",200431831,2013,"toyota","tacoma","Base","access-cab"
"8",200431827,2013,"toyota","tacoma","Base","regular-cab"
"9",200431844,2013,"toyota","tacoma","Base","access-cab"
"10",200434267,2013,"mini","cooper","Base","hatchback"
"11",200434266,2013,"mini","cooper","Base","convertible"
"12",200742456,2016,"scion","ia","Base","sedan"
"13",200730056,2016,"scion","ia","Base","sedan"
"14",101200427,2010,"honda","fit","Base","hatchback"
"15",101200428,2010,"honda","fit","Base","hatchback"
"16",100570404,2006,"scion","xa","Base","hatchback"
"17",100570405,2006,"scion","xa","Base","hatchback"
"18",200736668,2016,"mini","cooper-countryman","Base","wagon"
"19",101362265,2011,"volkswagen","jetta","Base","sedan"
"20",101362264,2011,"volkswagen","jetta","Base","sedan"
"21",100454051,2005,"toyota","prius","Base","hatchback"
"22",101293762,2011,"mini","cooper","Base","hatchback"
"23",101357471,2011,"mini","cooper","Base","convertible"
"24",100920099,2008,"toyota","prius","Base","hatchback"
"25",101386719,2012,"kia","sportage","Base","suv"
"26",101225901,2012,"scion","iq","Base","hatchback"
"27",100777997,2007,"volkswagen","jetta","Base","sedan"
"28",100778007,2007,"volkswagen","jetta","Base","sedan"
"29",101351364,2011,"toyota","rav4","Base","suv"
"30",101351370,2011,"toyota","rav4","Base","suv"
"31",101351365,2011,"toyota","rav4","Base","suv"
"32",101351371,2011,"toyota","rav4","Base","suv"
"33",101395834,2012,"mini","cooper","Base","hatchback"
"34",101395837,2012,"mini","cooper","Base","convertible"
"35",200498784,2014,"hyundai","elantra-gt","Base","hatchback"
"36",200498787,2014,"hyundai","elantra-gt","Base","hatchback"
"37",200498786,2014,"hyundai","elantra-gt","Base","hatchback"
"38",200498785,2014,"hyundai","elantra-gt","Base","hatchback"
"39",101403464,2012,"honda","fit","Base","hatchback"
"40",101403465,2012,"honda","fit","Base","hatchback"
"41",100975556,2009,"toyota","camry","Base","sedan"
"42",100975555,2009,"toyota","camry","Base","sedan"
"43",200429043,2013,"honda","fit","Base","hatchback"
"44",200429042,2013,"honda","fit","Base","hatchback"
"45",101393730,2012,"volkswagen","jetta","Base","sedan"
"46",101393729,2012,"volkswagen","jetta","Base","sedan"
"47",100668257,2006,"toyota","prius","Base","hatchback"
"48",101042875,2009,"toyota","prius","Base","hatchback"
"49",101162055,2010,"volkswagen","gti","Base","hatchback"
"50",101209637,2010,"volkswagen","gti","Base","hatchback"
"51",101209642,2010,"volkswagen","gti","Base","hatchback"
"52",101209640,2010,"volkswagen","gti","Base","hatchback"
"53",101200502,2010,"toyota","yaris","Base","sedan"
"54",101200497,2010,"toyota","yaris","Base","hatchback"
"55",101200501,2010,"toyota","yaris","Base","sedan"
"56",101200500,2010,"toyota","yaris","Base","hatchback"
"57",101200498,2010,"toyota","yaris","Base","hatchback"
"58",101200499,2010,"toyota","yaris","Base","hatchback"
"59",200673684,2014,"lexus","ct-200h","Base","hatchback"
"60",200722069,2016,"scion","im","Base","hatchback"
"61",200742459,2016,"scion","im","Base","hatchback"
"62",100640227,2006,"suzuki","reno","Base","hatchback"
"63",100640228,2006,"suzuki","reno","Base","hatchback"
"64",100563864,2006,"chevrolet","colorado","Base","extended-cab"
"65",100563865,2006,"chevrolet","colorado","Base","extended-cab"
"66",200708301,2015,"mini","cooper-countryman","Base","wagon"
"67",101404119,2012,"kia","soul","Base","wagon"
"68",101351639,2012,"kia","soul","Base","wagon"
"69",200426353,2013,"kia","soul","Base","wagon"
"70",200426352,2013,"kia","soul","Base","wagon"
"71",101020574,2009,"ford","escape-hybrid","Base","suv"
"72",101020575,2009,"ford","escape-hybrid","Base","suv"
"73",200706813,2015,"kia","soul","Base","wagon"
"74",200706814,2015,"kia","soul","Base","wagon"
"75",101394235,2012,"scion","xb","Base","wagon"
"76",101394234,2012,"scion","xb","Base","wagon"
"77",100728688,2007,"scion","tc","Base","hatchback"
"78",100728687,2007,"scion","tc","Base","hatchback"
"79",100777218,2007,"toyota","prius","Base","hatchback"
"80",101352066,2011,"lexus","is-250","Base","sedan"
"81",101352237,2011,"lexus","is-250","Base","sedan"
"82",101352065,2011,"lexus","is-250","Base","sedan"
"83",200711754,2015,"volkswagen","jetta","Base","sedan"
"84",200423072,2013,"hyundai","veloster","Base","hatchback"
"85",200423073,2013,"hyundai","veloster","Base","hatchback"
"86",200473291,2013,"hyundai","veloster","Base","hatchback"
"87",200473292,2013,"hyundai","veloster","Base","hatchback"
"88",200423071,2013,"hyundai","veloster","Base","hatchback"
"89",200423070,2013,"hyundai","veloster","Base","hatchback"
"90",101420410,2013,"porsche","boxster","Base","convertible"
"91",100655181,2006,"acura","tl","Base","sedan"
"92",100655179,2006,"acura","tl","Base","sedan"
"93",100655175,2006,"acura","tl","Base","sedan"
"94",100655182,2006,"acura","tl","Base","sedan"
"95",100655178,2006,"acura","tl","Base","sedan"
"96",100655180,2006,"acura","tl","Base","sedan"
"97",101140838,2010,"toyota","corolla","Base","sedan"
"98",101140837,2010,"toyota","corolla","Base","sedan"
"99",100785822,2007,"toyota","highlander-hybrid","Base","suv"
"100",100785840,2007,"toyota","highlander-hybrid","Base","suv"
"101",100785836,2007,"toyota","highlander-hybrid","Base","suv"
"102",100785838,2007,"toyota","highlander-hybrid","Base","suv"
"103",200709178,2015,"mini","cooper","Base","convertible"
"104",200709175,2015,"mini","cooper","Base","hatchback"
"105",200720170,2015,"mini","cooper","Base","hatchback"
"106",100167045,2003,"toyota","highlander","Base","suv"
"107",100167043,2003,"toyota","highlander","Base","suv"
"108",100167044,2003,"toyota","highlander","Base","suv"
"109",100167046,2003,"toyota","highlander","Base","suv"
"110",100395248,2005,"toyota","matrix","Base","wagon"
"111",100395249,2005,"toyota","matrix","Base","wagon"
"112",100395250,2005,"toyota","matrix","Base","wagon"
"113",200712380,2015,"lexus","es-300h","Base","sedan"
"114",101411349,2012,"lexus","ct-200h","Base","hatchback"
"115",101400238,2012,"toyota","highlander-hybrid","Base","suv"
"116",100003122,2002,"toyota","highlander","Base","suv"
"117",100003124,2002,"toyota","highlander","Base","suv"
"118",100003125,2002,"toyota","highlander","Base","suv"
"119",100003123,2002,"toyota","highlander","Base","suv"
"120",101400983,2012,"porsche","cayenne","Base","suv"
"121",101372439,2011,"toyota","corolla","Base","sedan"
"122",101372440,2011,"toyota","corolla","Base","sedan"
"123",100920108,2008,"toyota","rav4","Base","suv"
"124",100920109,2008,"toyota","rav4","Base","suv"
"125",100920102,2008,"toyota","rav4","Base","suv"
"126",100920101,2008,"toyota","rav4","Base","suv"
"127",200424007,2013,"chevrolet","volt","Base","hatchback"
"128",101420021,2013,"ford","explorer","Base","suv"
"129",101420022,2013,"ford","explorer","Base","suv"
"130",200483476,2014,"mini","cooper","Base","hatchback"
"131",200493388,2014,"mini","cooper","Base","convertible"
"132",100849350,2008,"mercury","mariner-hybrid","Base","suv"
"133",100849331,2008,"mercury","mariner-hybrid","Base","suv"
"134",101419958,2013,"volkswagen","jetta-hybrid","Base","sedan"
"135",101406759,2012,"lexus","gx-460","Base","suv"
"136",100003141,2002,"toyota","tacoma","Base","regular-cab"
"137",100003146,2002,"toyota","tacoma","Base","xtracab"
"138",100003149,2002,"toyota","tacoma","Base","xtracab"
"139",100003144,2002,"toyota","tacoma","Base","regular-cab"
"140",100003148,2002,"toyota","tacoma","Base","xtracab"
"141",100003142,2002,"toyota","tacoma","Base","regular-cab"
"142",100003143,2002,"toyota","tacoma","Base","regular-cab"
"143",100003147,2002,"toyota","tacoma","Base","xtracab"
"144",101270101,2010,"infiniti","g37-sedan","Base","sedan"
"145",100905540,2008,"acura","rdx","Base","suv"
"146",100905541,2008,"acura","rdx","Base","suv"
"147",101336215,2011,"volkswagen","gti","Base","hatchback"
"148",101336192,2011,"volkswagen","gti","Base","hatchback"
"149",101336212,2011,"volkswagen","gti","Base","hatchback"
"150",101336188,2011,"volkswagen","gti","Base","hatchback"
"151",101336137,2011,"volkswagen","gti","Base","hatchback"
"152",101336190,2011,"volkswagen","gti","Base","hatchback"
"153",101336208,2011,"volkswagen","gti","Base","hatchback"
"154",101336299,2011,"volkswagen","gti","Base","hatchback"
"155",101336110,2011,"volkswagen","gti","Base","hatchback"
"156",101336194,2011,"volkswagen","gti","Base","hatchback"
"157",101336210,2011,"volkswagen","gti","Base","hatchback"
"158",101336186,2011,"volkswagen","gti","Base","hatchback"
"159",200482228,2014,"buick","verano","Base","sedan"
"160",100777083,2007,"toyota","rav4","Base","suv"
"161",100777076,2007,"toyota","rav4","Base","suv"
"162",100777077,2007,"toyota","rav4","Base","suv"
"163",100777082,2007,"toyota","rav4","Base","suv"
"164",101286113,2011,"lexus","ct-200h","Base","hatchback"
"165",101037425,2009,"acura","mdx","Base","suv"
"166",200443799,2014,"lexus","is-250","Base","sedan"
"167",200470761,2014,"lexus","is-250","Base","sedan"
"168",100919848,2008,"toyota","yaris","Base","hatchback"
"169",100919847,2008,"toyota","yaris","Base","hatchback"
"170",100919898,2008,"toyota","yaris","Base","sedan"
"171",100919899,2008,"toyota","yaris","Base","sedan"
"172",101016843,2009,"mini","cooper","Base","hatchback"
"173",101016845,2009,"mini","cooper","Base","convertible"
"174",200435564,2013,"volkswagen","gti","Base","hatchback"
"175",200435541,2013,"volkswagen","gti","Base","hatchback"
"176",200435540,2013,"volkswagen","gti","Base","hatchback"
"177",200435565,2013,"volkswagen","gti","Base","hatchback"
"178",200435549,2013,"volkswagen","gti","Base","hatchback"
"179",200435557,2013,"volkswagen","gti","Base","hatchback"
"180",200435544,2013,"volkswagen","gti","Base","hatchback"
"181",200435545,2013,"volkswagen","gti","Base","hatchback"
"182",200435556,2013,"volkswagen","gti","Base","hatchback"
"183",200435560,2013,"volkswagen","gti","Base","hatchback"
"184",200435548,2013,"volkswagen","gti","Base","hatchback"
"185",200435561,2013,"volkswagen","gti","Base","hatchback"
"186",200463471,2013,"hyundai","sonata-hybrid","Base","sedan"
"187",200441423,2013,"toyota","prius-plug-in","Base","hatchback"
"188",100773231,2007,"acura","rdx","Base","suv"
"189",100773236,2007,"acura","rdx","Base","suv"
"190",100322064,2004,"lexus","es-330","Base","sedan"
"191",100650681,2006,"acura","mdx","Base","suv"
"192",200746207,2016,"lexus","es-300h","Base","sedan"
"193",101384757,2012,"toyota","prius-plug-in","Base","hatchback"
"194",100692872,2007,"honda","fit","Base","hatchback"
"195",100692871,2007,"honda","fit","Base","hatchback"
"196",100595810,2006,"mini","cooper","Base","convertible"
"197",100595808,2006,"mini","cooper","Base","hatchback"
"198",101020816,2009,"chevrolet","malibu-hybrid","Base","sedan"
"199",101185137,2010,"scion","xd","Base","hatchback"
"200",101185138,2010,"scion","xd","Base","hatchback"
"201",200485728,2014,"chevrolet","volt","Base","hatchback"
"202",100793708,2007,"toyota","tacoma","Base","access-cab"
"203",100793720,2007,"toyota","tacoma","Base","regular-cab"
"204",100793569,2007,"toyota","tacoma","Base","regular-cab"
"205",100793568,2007,"toyota","tacoma","Base","regular-cab"
"206",100793721,2007,"toyota","tacoma","Base","access-cab"
"207",100793707,2007,"toyota","tacoma","Base","access-cab"
"208",100414633,2005,"toyota","tundra","Base","regular-cab"
"209",100414632,2005,"toyota","tundra","Base","regular-cab"
"210",100414631,2005,"toyota","tundra","Base","regular-cab"
"211",100414634,2005,"toyota","tundra","Base","regular-cab"
"212",100900060,2008,"toyota","highlander","Base","suv"
"213",100900040,2008,"toyota","highlander","Base","suv"
"214",101251003,2010,"infiniti","fx35","Base","suv"
"215",101251004,2010,"infiniti","fx35","Base","suv"
"216",101321952,2011,"ford","escape-hybrid","Base","suv"
"217",101321953,2011,"ford","escape-hybrid","Base","suv"
"218",200437667,2013,"lexus","ct-200h","Base","hatchback"
"219",200495859,2014,"toyota","prius-plug-in","Base","hatchback"
"220",200701417,2015,"acura","ilx","Base","sedan"
"221",200467052,2014,"ford","explorer","Base","suv"
"222",200467051,2014,"ford","explorer","Base","suv"
"223",100903480,2008,"scion","xd","Base","hatchback"
"224",100903479,2008,"scion","xd","Base","hatchback"
"225",200704092,2015,"chevrolet","volt","Base","hatchback"
"226",200492047,2014,"toyota","tacoma","Base","regular-cab"
"227",200492037,2014,"toyota","tacoma","Base","double-cab"
"228",200492040,2014,"toyota","tacoma","Base","access-cab"
"229",200492029,2014,"toyota","tacoma","Base","access-cab"
"230",200492036,2014,"toyota","tacoma","Base","regular-cab"
"231",200492034,2014,"toyota","tacoma","Base","access-cab"
"232",200492038,2014,"toyota","tacoma","Base","access-cab"
"233",200492035,2014,"toyota","tacoma","Base","regular-cab"
"234",200492046,2014,"toyota","tacoma","Base","regular-cab"
"235",100975664,2009,"toyota","camry-hybrid","Base","sedan"
"236",101017659,2009,"mini","cooper-clubman","Base","hatchback"
"237",100633131,2006,"toyota","tacoma","Base","regular-cab"
"238",100633129,2006,"toyota","tacoma","Base","regular-cab"
"239",100633136,2006,"toyota","tacoma","Base","access-cab"
"240",100633137,2006,"toyota","tacoma","Base","access-cab"
"241",100633130,2006,"toyota","tacoma","Base","regular-cab"
"242",100633133,2006,"toyota","tacoma","Base","access-cab"
"243",200705857,2015,"lexus","is-250","Base","sedan"
"244",200705858,2015,"lexus","is-250","Base","sedan"
"245",101270097,2010,"infiniti","g37-coupe","Base","coupe"
"246",100837392,2007,"mini","cooper","Base","convertible"
"247",100837390,2007,"mini","cooper","Base","hatchback"
"248",101047086,2009,"nissan","altima-hybrid","Base","sedan"
"249",200709074,2015,"scion","iq","Base","hatchback"
"250",101400294,2013,"tesla","model-s","Base","sedan"
"251",101140831,2010,"toyota","matrix","Base","hatchback"
"252",101140830,2010,"toyota","matrix","Base","hatchback"
"253",200459661,2014,"infiniti","q50","Base","sedan"
"254",200467682,2014,"infiniti","q50","Base","sedan"
"255",101395885,2012,"mini","cooper-countryman","Base","wagon"
"256",100900306,2008,"toyota","camry-hybrid","Base","sedan"
"257",101277417,2011,"porsche","cayenne","Base","suv"
"258",101235882,2011,"kia","sorento","Base","suv"
"259",101287563,2011,"jeep","compass","Base","suv"
"260",101373973,2011,"jeep","compass","Base","suv"
"261",101142322,2010,"lexus","rx-350","Base","suv"
"262",101146807,2010,"lexus","rx-350","Base","suv"
"263",100339754,2004,"toyota","tacoma","Base","xtracab"
"264",100339753,2004,"toyota","tacoma","Base","xtracab"
"265",100339751,2004,"toyota","tacoma","Base","xtracab"
"266",100339740,2004,"toyota","tacoma","Base","regular-cab"
"267",100339738,2004,"toyota","tacoma","Base","regular-cab"
"268",100339744,2004,"toyota","tacoma","Base","regular-cab"
"269",100339749,2004,"toyota","tacoma","Base","regular-cab"
"270",100339752,2004,"toyota","tacoma","Base","xtracab"
"271",101413440,2012,"lexus","is-250-c","Base","convertible"
"272",101413439,2012,"lexus","is-250-c","Base","convertible"
"273",101235925,2010,"mini","cooper","Base","convertible"
"274",101235883,2010,"mini","cooper","Base","hatchback"
"275",100531498,2006,"ford","escape-hybrid","Base","suv"
"276",100531499,2006,"ford","escape-hybrid","Base","suv"
"277",200481163,2015,"bmw","m4","Base","coupe"
"278",200700748,2015,"bmw","m4","Base","convertible"
"279",101006611,2009,"mercury","milan","Base","sedan"
"280",101006614,2009,"mercury","milan","Base","sedan"
"281",101006612,2009,"mercury","milan","Base","sedan"
"282",200423673,2013,"hyundai","elantra-gt","Base","hatchback"
"283",200423670,2013,"hyundai","elantra-gt","Base","hatchback"
"284",101422167,2013,"hyundai","elantra-gt","Base","hatchback"
"285",200423672,2013,"hyundai","elantra-gt","Base","hatchback"
"286",101201386,2010,"toyota","rav4","Base","suv"
"287",101201387,2010,"toyota","rav4","Base","suv"
"288",101201392,2010,"toyota","rav4","Base","suv"
"289",101201393,2010,"toyota","rav4","Base","suv"
"290",101254342,2011,"mini","cooper-countryman","Base","wagon"
"291",100701540,2007,"toyota","camry-hybrid","Base","sedan"
"292",101370710,2011,"honda","fit","Base","hatchback"
"293",101370711,2011,"honda","fit","Base","hatchback"
"294",101175872,2010,"ford","escape-hybrid","Base","suv"
"295",101175831,2010,"ford","escape-hybrid","Base","suv"
"296",200437418,2013,"mini","cooper-coupe","Base","hatchback"
"297",100804596,2007,"chrysler","sebring","Base","sedan"
"298",101413824,2014,"acura","rlx","Base","sedan"
"299",101418219,2013,"acura","ilx","Base","sedan"
"300",200717599,2015,"infiniti","q50","Base","sedan"
"301",200717598,2015,"infiniti","q50","Base","sedan"
"302",100655406,2006,"nissan","350z","Base","coupe"
"303",200715970,2015,"hyundai","santa-fe-sport","Base","suv"
"304",200715971,2015,"hyundai","santa-fe-sport","Base","suv"
"305",200698221,2015,"infiniti","qx50","Base","suv"
"306",200698218,2015,"infiniti","qx50","Base","suv"
"307",101260751,2010,"nissan","370z","Base","coupe"
"308",101187194,2010,"nissan","370z","Base","convertible"
"309",101187193,2010,"nissan","370z","Base","convertible"
"310",101260744,2010,"nissan","370z","Base","coupe"
"311",200427368,2013,"scion","iq","Base","hatchback"
"312",101254327,2011,"acura","tsx","Base","sedan"
"313",101356398,2011,"acura","tsx","Base","sedan"
"314",101369630,2011,"acura","tsx","Base","sedan"
"315",100414742,2005,"mini","cooper","Base","hatchback"
"316",100414744,2005,"mini","cooper","Base","convertible"
"317",101336167,2011,"toyota","tacoma","Base","access-cab"
"318",101336168,2011,"toyota","tacoma","Base","access-cab"
"319",101336177,2011,"toyota","tacoma","Base","access-cab"
"320",101336176,2011,"toyota","tacoma","Base","regular-cab"
"321",101336166,2011,"toyota","tacoma","Base","regular-cab"
"322",101336203,2011,"toyota","tacoma","Base","access-cab"
"323",101336184,2011,"toyota","tacoma","Base","double-cab"
"324",101336165,2011,"toyota","tacoma","Base","regular-cab"
"325",101336200,2011,"toyota","tacoma","Base","regular-cab"
"326",100579324,2006,"toyota","matrix","Base","wagon"
"327",100579325,2006,"toyota","matrix","Base","wagon"
"328",100579326,2006,"toyota","matrix","Base","wagon"
"329",200471222,2014,"scion","iq","Base","hatchback"
"330",100632169,2006,"infiniti","fx45","Base","suv"
"331",200709442,2015,"honda","accord-hybrid","Base","sedan"
"332",200469910,2014,"porsche","boxster","Base","convertible"
"333",100981570,2009,"toyota","matrix","Base","hatchback"
"334",100981671,2009,"toyota","matrix","Base","hatchback"
"335",101413924,2012,"suzuki","sx4","Base","sedan"
"336",100380649,2005,"chevrolet","silverado-1500","Base","extended-cab"
"337",100380650,2005,"chevrolet","silverado-1500","Base","extended-cab"
"338",100380648,2005,"chevrolet","silverado-1500","Base","extended-cab"
"339",100380636,2005,"chevrolet","silverado-1500","Base","regular-cab"
"340",100380634,2005,"chevrolet","silverado-1500","Base","regular-cab"
"341",100380637,2005,"chevrolet","silverado-1500","Base","regular-cab"
"342",100380651,2005,"chevrolet","silverado-1500","Base","extended-cab"
"343",100380635,2005,"chevrolet","silverado-1500","Base","regular-cab"
"344",101174002,2010,"acura","tsx","Base","sedan"
"345",101174005,2010,"acura","tsx","Base","sedan"
"346",101147985,2010,"acura","tsx","Base","sedan"
"347",100668208,2006,"acura","tsx","Base","sedan"
"348",100668206,2006,"acura","tsx","Base","sedan"
"349",100668209,2006,"acura","tsx","Base","sedan"
"350",100668207,2006,"acura","tsx","Base","sedan"
"351",200466954,2014,"porsche","panamera","Base","sedan"
"352",200708599,2015,"toyota","tacoma","Base","double-cab"
"353",200708607,2015,"toyota","tacoma","Base","access-cab"
"354",200708610,2015,"toyota","tacoma","Base","access-cab"
"355",200708600,2015,"toyota","tacoma","Base","access-cab"
"356",200708604,2015,"toyota","tacoma","Base","access-cab"
"357",200477004,2014,"cadillac","xts","Base","sedan"
"358",401594089,2016,"lexus","rc-200t","Base","coupe"
"359",100905565,2008,"lincoln","mkz","Base","sedan"
"360",100905566,2008,"lincoln","mkz","Base","sedan"
"361",100339432,2004,"toyota","highlander","Base","suv"
"362",100343114,2004,"toyota","highlander","Base","suv"
"363",100343113,2004,"toyota","highlander","Base","suv"
"364",100339428,2004,"toyota","highlander","Base","suv"
"365",100339429,2004,"toyota","highlander","Base","suv"
"366",100339431,2004,"toyota","highlander","Base","suv"
"367",100689152,2007,"toyota","yaris","Base","sedan"
"368",100689153,2007,"toyota","yaris","Base","sedan"
"369",100689156,2007,"toyota","yaris","Base","hatchback"
"370",100689157,2007,"toyota","yaris","Base","hatchback"
"371",101400171,2012,"toyota","highlander","Base","suv"
"372",101400170,2012,"toyota","highlander","Base","suv"
"373",101400169,2012,"toyota","highlander","Base","suv"
"374",100563875,2006,"mazda","mx-5-miata","Base","convertible"
"375",200484349,2014,"volkswagen","jetta","Base","sedan"
"376",200476713,2014,"ram","cv-tradesman","Base","minivan"
"377",100955395,2008,"mini","cooper","Base","convertible"
"378",100955393,2008,"mini","cooper","Base","hatchback"
"379",101373067,2011,"acura","tsx-sport-wagon","Base","wagon"
"380",100924409,2008,"honda","fit","Base","hatchback"
"381",100924408,2008,"honda","fit","Base","hatchback"
"382",200423141,2013,"scion","tc","Base","hatchback"
"383",200423140,2013,"scion","tc","Base","hatchback"
"384",100981752,2008,"volkswagen","gti","Base","hatchback"
"385",100924745,2008,"volkswagen","gti","Base","hatchback"
"386",100924747,2008,"volkswagen","gti","Base","hatchback"
"387",100924769,2008,"volkswagen","gti","Base","hatchback"
"388",100981748,2008,"volkswagen","gti","Base","hatchback"
"389",100981750,2008,"volkswagen","gti","Base","hatchback"
"390",100981754,2008,"volkswagen","gti","Base","hatchback"
"391",100924748,2008,"volkswagen","gti","Base","hatchback"
"392",101068494,2009,"chrysler","pt-cruiser","Base","wagon"
"393",200495461,2014,"toyota","rav4-ev","Base","suv"
"394",200710958,2015,"toyota","prius-plug-in","Base","hatchback"
"395",200437626,2013,"honda","insight","Base","hatchback"
